cake_path,children,group,size_span,ratios_stdev,seconds
cakes/tournament/figure_eight.csv,14,2,1.5462,11.1388,16.8225
cakes/tournament/figure_eight.csv,14,3,0.3128,7.2894,46.7679
cakes/tournament/figure_eight.csv,14,4,-1,-1,300.0000
cakes/tournament/figure_eight.csv,14,5,21.0456,21.1671,14.2316
cakes/tournament/figure_eight.csv,14,6,0.4900,9.8165,116.0650
cakes/tournament/figure_eight.csv,14,7,0.4772,9.7205,196.3245
cakes/tournament/figure_eight.csv,14,8,-1,-1,300.0000
cakes/tournament/figure_eight.csv,14,9,-1,-1,300.0000
cakes/tournament/figure_eight.csv,14,10,0.0003,8.5142,264.0114
cakes/tournament/horseshoe.csv,12,1,0.0208,1.6430,25.7064
cakes/tournament/horseshoe.csv,12,2,0.4566,2.9254,134.2540
cakes/tournament/horseshoe.csv,12,3,0.3948,0.2396,53.4425
cakes/tournament/horseshoe.csv,12,4,0.0744,9.8674,23.3125
cakes/tournament/horseshoe.csv,12,5,14.9944,8.6575,15.9862
cakes/tournament/horseshoe.csv,12,6,0.4899,1.6128,97.6672
cakes/tournament/horseshoe.csv,12,7,0.4698,1.6814,151.6920
cakes/tournament/horseshoe.csv,12,8,-1,-1,300.0000
cakes/tournament/horseshoe.csv,12,9,-1,-1,300.0000
cakes/tournament/horseshoe.csv,12,10,0.0001,0.0011,56.3731
cakes/tournament/horseshoe.csv,16,1,0.0018,4.3106,33.8075
cakes/tournament/horseshoe.csv,16,2,0.4523,2.7332,297.5922
cakes/tournament/horseshoe.csv,16,3,0.4075,0.3061,69.4952
cakes/tournament/horseshoe.csv,16,4,-1,-1,300.0000
cakes/tournament/horseshoe.csv,16,5,6.3721,8.5685,19.6895
cakes/tournament/horseshoe.csv,16,6,0.4900,7.0032,129.0322
cakes/tournament/horseshoe.csv,16,7,0.4584,1.5469,237.5992
cakes/tournament/horseshoe.csv,16,8,-1,-1,300.0000
cakes/tournament/horseshoe.csv,16,9,-1,-1,300.0000
cakes/tournament/horseshoe.csv,16,10,0.0001,0.0025,59.1783
cakes/tournament/horseshoe.csv,25,1,0.0018,5.7332,53.3888
cakes/tournament/horseshoe.csv,25,2,0.4673,9.4543,38.4518
cakes/tournament/horseshoe.csv,25,3,0.3657,1.0491,146.1718
cakes/tournament/horseshoe.csv,25,4,-1,-1,300.0000
cakes/tournament/horseshoe.csv,25,5,0.4395,8.9914,28.1055
cakes/tournament/horseshoe.csv,25,6,0.4900,2.7077,192.9814
cakes/tournament/horseshoe.csv,25,7,-1,-1,300.0000
cakes/tournament/horseshoe.csv,25,8,-1,-1,300.0000
cakes/tournament/horseshoe.csv,25,9,-1,-1,300.0000
cakes/tournament/horseshoe.csv,25,10,0.0002,0.2817,97.9234
cakes/tournament/players/player1/cat.csv,12,1,0.0215,4.3537,27.7173
cakes/tournament/players/player1/cat.csv,12,2,0.4087,6.9460,36.2105
cakes/tournament/players/player1/cat.csv,12,3,0.3951,1.1062,81.4866
cakes/tournament/players/player1/cat.csv,12,4,0.0771,10.0810,155.0566
cakes/tournament/players/player1/cat.csv,12,5,32.8980,13.5823,22.0854
cakes/tournament/players/player1/cat.csv,12,6,0.4900,9.5863,110.9253
cakes/tournament/players/player1/cat.csv,12,7,0.4799,4.4495,139.2414
cakes/tournament/players/player1/cat.csv,12,8,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,12,9,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,12,10,0.0000,0.5601,98.1239
cakes/tournament/players/player1/cat.csv,16,1,0.0218,3.5210,37.5246
cakes/tournament/players/player1/cat.csv,16,2,0.4340,4.6116,249.8099
cakes/tournament/players/player1/cat.csv,16,3,0.3768,1.2031,97.2430
cakes/tournament/players/player1/cat.csv,16,4,0.0602,13.4636,66.7451
cakes/tournament/players/player1/cat.csv,16,5,0.4801,13.1720,28.8262
cakes/tournament/players/player1/cat.csv,16,6,0.4900,7.5829,145.8940
cakes/tournament/players/player1/cat.csv,16,7,0.4929,5.2537,226.0535
cakes/tournament/players/player1/cat.csv,16,8,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,16,9,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,16,10,0.0001,1.5606,102.4671
cakes/tournament/players/player1/cat.csv,24,1,0.0019,9.3175,52.7492
cakes/tournament/players/player1/cat.csv,24,2,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,24,3,0.3965,1.8472,162.9942
cakes/tournament/players/player1/cat.csv,24,4,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,24,5,0.4544,13.9649,32.4901
cakes/tournament/players/player1/cat.csv,24,6,0.4900,3.8342,209.0837
cakes/tournament/players/player1/cat.csv,24,7,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,24,8,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,24,9,-1,-1,300.0000
cakes/tournament/players/player1/cat.csv,24,10,0.0002,2.0043,93.7521
cakes/tournament/players/player1/crown.csv,2,1,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,2,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,3,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,4,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,5,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,6,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,7,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,8,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,9,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,10,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,1,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,2,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,3,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,4,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,5,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,6,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,7,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,8,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,9,-1,-1,-1
cakes/tournament/players/player1/crown.csv,2,10,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,1,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,2,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,3,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,4,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,5,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,6,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,7,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,8,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,9,-1,-1,-1
cakes/tournament/players/player1/crown.csv,4,10,-1,-1,-1
cakes/tournament/players/player1/star.csv,8,1,0.0218,3.2029,15.5028
cakes/tournament/players/player1/star.csv,8,2,0.4373,2.7853,57.4417
cakes/tournament/players/player1/star.csv,8,3,0.2351,2.3141,27.8673
cakes/tournament/players/player1/star.csv,8,4,0.1182,12.3091,73.9482
cakes/tournament/players/player1/star.csv,8,5,0.4619,13.4008,11.8243
cakes/tournament/players/player1/star.csv,8,6,0.4897,1.1385,57.2887
cakes/tournament/players/player1/star.csv,8,7,0.4307,0.9426,90.1819
cakes/tournament/players/player1/star.csv,8,8,0.3459,7.2934,258.6562
cakes/tournament/players/player1/star.csv,8,9,0.1898,1.2097,170.0358
cakes/tournament/players/player1/star.csv,8,10,0.0000,0.0009,57.7270
cakes/tournament/players/player1/star.csv,11,1,0.0019,6.8681,22.3986
cakes/tournament/players/player1/star.csv,11,2,0.3303,15.1704,14.5923
cakes/tournament/players/player1/star.csv,11,3,0.3914,1.0687,43.8005
cakes/tournament/players/player1/star.csv,11,4,-1,-1,300.0000
cakes/tournament/players/player1/star.csv,11,5,0.3687,12.0748,12.0865
cakes/tournament/players/player1/star.csv,11,6,0.4900,6.4261,82.1345
cakes/tournament/players/player1/star.csv,11,7,0.4879,1.4805,141.4163
cakes/tournament/players/player1/star.csv,11,8,-1,-1,300.0000
cakes/tournament/players/player1/star.csv,11,9,0.2402,1.3783,292.4357
cakes/tournament/players/player1/star.csv,11,10,0.0002,0.4713,97.4202
cakes/tournament/players/player1/star.csv,17,1,0.0018,8.9304,33.5860
cakes/tournament/players/player1/star.csv,17,2,0.4812,3.7775,186.4273
cakes/tournament/players/player1/star.csv,17,3,0.1668,0.1403,65.6802
cakes/tournament/players/player1/star.csv,17,4,0.0536,20.3950,98.2675
cakes/tournament/players/player1/star.csv,17,5,18.9107,18.8667,15.4552
cakes/tournament/players/player1/star.csv,17,6,0.4900,6.0757,132.0531
cakes/tournament/players/player1/star.csv,17,7,0.4876,1.7207,232.9473
cakes/tournament/players/player1/star.csv,17,8,-1,-1,300.0000
cakes/tournament/players/player1/star.csv,17,9,-1,-1,300.0000
cakes/tournament/players/player1/star.csv,17,10,0.0004,0.0201,97.5550
cakes/tournament/players/player10/HBD.csv,3,1,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,2,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,3,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,4,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,5,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,6,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,7,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,8,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,9,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,3,10,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,1,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,2,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,3,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,4,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,5,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,6,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,7,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,8,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,9,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,4,10,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,1,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,2,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,3,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,4,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,5,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,6,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,7,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,8,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,9,-1,-1,-1
cakes/tournament/players/player10/HBD.csv,7,10,-1,-1,-1
cakes/tournament/players/player10/star.csv,4,1,0.0026,0.0008,7.5394
cakes/tournament/players/player10/star.csv,4,2,0.4862,0.5147,10.0346
cakes/tournament/players/player10/star.csv,4,3,0.0831,2.4527,13.8293
cakes/tournament/players/player10/star.csv,4,4,0.0000,0.0000,11.8450
cakes/tournament/players/player10/star.csv,4,5,0.1421,9.2281,6.1771
cakes/tournament/players/player10/star.csv,4,6,0.0006,0.0001,26.3487
cakes/tournament/players/player10/star.csv,4,7,-1,-1,-1
cakes/tournament/players/player10/star.csv,4,8,0.5583,11.5045,78.1604
cakes/tournament/players/player10/star.csv,4,9,0.1681,1.6462,42.4858
cakes/tournament/players/player10/star.csv,4,10,0.0000,0.0001,42.8608
cakes/tournament/players/player10/star.csv,6,1,0.0009,4.0966,11.7353
cakes/tournament/players/player10/star.csv,6,2,0.4145,6.6052,24.2569
cakes/tournament/players/player10/star.csv,6,3,0.1837,2.2808,19.9977
cakes/tournament/players/player10/star.csv,6,4,0.0378,17.4463,17.6763
cakes/tournament/players/player10/star.csv,6,5,0.3358,5.7425,8.0307
cakes/tournament/players/player10/star.csv,6,6,0.4898,0.4524,42.9245
cakes/tournament/players/player10/star.csv,6,7,-1,-1,-1
cakes/tournament/players/player10/star.csv,6,8,0.4661,10.3719,139.8549
cakes/tournament/players/player10/star.csv,6,9,0.1600,1.9861,94.5475
cakes/tournament/players/player10/star.csv,6,10,0.0000,0.0021,50.0899
cakes/tournament/players/player10/star.csv,9,1,0.0219,6.8736,16.9262
cakes/tournament/players/player10/star.csv,9,2,0.3969,4.2421,41.2451
cakes/tournament/players/player10/star.csv,9,3,0.3230,2.5525,34.4102
cakes/tournament/players/player10/star.csv,9,4,0.0735,21.8536,60.7791
cakes/tournament/players/player10/star.csv,9,5,0.4550,11.8974,10.6669
cakes/tournament/players/player10/star.csv,9,6,0.4900,2.5795,65.9832
cakes/tournament/players/player10/star.csv,9,7,0.4903,3.7980,96.7094
cakes/tournament/players/player10/star.csv,9,8,0.7066,16.3055,251.1604
cakes/tournament/players/player10/star.csv,9,9,0.1440,2.8592,184.5953
cakes/tournament/players/player10/star.csv,9,10,0.0000,2.6252,112.8303
cakes/tournament/players/player10/weirdS.csv,8,1,0.0014,3.4230,17.9777
cakes/tournament/players/player10/weirdS.csv,8,2,0.4443,3.4779,20.8863
cakes/tournament/players/player10/weirdS.csv,8,3,0.2933,1.4085,31.7559
cakes/tournament/players/player10/weirdS.csv,8,4,0.1023,6.7237,159.6653
cakes/tournament/players/player10/weirdS.csv,8,5,12.3116,5.2613,11.1378
cakes/tournament/players/player10/weirdS.csv,8,6,0.4619,4.0513,71.8344
cakes/tournament/players/player10/weirdS.csv,8,7,0.4987,4.3407,95.5653
cakes/tournament/players/player10/weirdS.csv,8,8,0.4800,3.2570,177.8958
cakes/tournament/players/player10/weirdS.csv,8,9,0.3292,1.6573,155.1766
cakes/tournament/players/player10/weirdS.csv,8,10,0.0000,2.7808,110.1611
cakes/tournament/players/player10/weirdS.csv,11,1,0.0015,3.5664,25.5584
cakes/tournament/players/player10/weirdS.csv,11,2,1.3817,13.5435,24.6242
cakes/tournament/players/player10/weirdS.csv,11,3,0.3647,4.6321,48.3609
cakes/tournament/players/player10/weirdS.csv,11,4,0.0819,5.5218,149.7789
cakes/tournament/players/player10/weirdS.csv,11,5,0.4802,4.9016,11.8691
cakes/tournament/players/player10/weirdS.csv,11,6,0.4900,6.0317,102.8878
cakes/tournament/players/player10/weirdS.csv,11,7,0.4408,4.5651,149.4578
cakes/tournament/players/player10/weirdS.csv,11,8,0.3556,5.5932,251.5632
cakes/tournament/players/player10/weirdS.csv,11,9,0.2892,1.9090,254.7799
cakes/tournament/players/player10/weirdS.csv,11,10,0.0001,4.0027,272.1290
cakes/tournament/players/player10/weirdS.csv,17,1,0.0018,4.2008,37.8713
cakes/tournament/players/player10/weirdS.csv,17,2,0.4759,4.9074,68.8549
cakes/tournament/players/player10/weirdS.csv,17,3,0.3753,4.2920,71.7906
cakes/tournament/players/player10/weirdS.csv,17,4,-1,-1,300.0000
cakes/tournament/players/player10/weirdS.csv,17,5,13.7332,13.8734,18.4630
cakes/tournament/players/player10/weirdS.csv,17,6,0.4900,5.4984,147.9129
cakes/tournament/players/player10/weirdS.csv,17,7,0.4921,4.6972,236.2993
cakes/tournament/players/player10/weirdS.csv,17,8,-1,-1,300.0000
cakes/tournament/players/player10/weirdS.csv,17,9,-1,-1,300.0000
cakes/tournament/players/player10/weirdS.csv,17,10,0.0112,5.1105,268.4470
cakes/tournament/players/player2/bolt.csv,6,1,0.0215,3.4988,12.0685
cakes/tournament/players/player2/bolt.csv,6,2,0.2922,12.9045,7.6212
cakes/tournament/players/player2/bolt.csv,6,3,0.1871,1.4263,19.2726
cakes/tournament/players/player2/bolt.csv,6,4,0.1458,13.9738,39.5762
cakes/tournament/players/player2/bolt.csv,6,5,55.2020,24.2232,6.0711
cakes/tournament/players/player2/bolt.csv,6,6,0.4899,1.8711,45.6939
cakes/tournament/players/player2/bolt.csv,6,7,0.4773,10.6628,57.3381
cakes/tournament/players/player2/bolt.csv,6,8,0.5513,3.4824,145.5722
cakes/tournament/players/player2/bolt.csv,6,9,0.1886,1.7968,91.8863
cakes/tournament/players/player2/bolt.csv,6,10,0.0001,5.3318,233.7062
cakes/tournament/players/player2/bolt.csv,9,1,0.0017,14.2221,17.7377
cakes/tournament/players/player2/bolt.csv,9,2,0.3548,12.4300,16.2255
cakes/tournament/players/player2/bolt.csv,9,3,0.3104,4.5987,26.6586
cakes/tournament/players/player2/bolt.csv,9,4,0.0841,17.1949,35.6745
cakes/tournament/players/player2/bolt.csv,9,5,0.4660,9.4468,8.8701
cakes/tournament/players/player2/bolt.csv,9,6,0.4899,13.7162,68.2218
cakes/tournament/players/player2/bolt.csv,9,7,0.4791,8.4955,92.6640
cakes/tournament/players/player2/bolt.csv,9,8,0.3362,13.9257,238.8933
cakes/tournament/players/player2/bolt.csv,9,9,0.2413,14.6114,185.1269
cakes/tournament/players/player2/bolt.csv,9,10,0.0002,7.9954,251.4219
cakes/tournament/players/player2/bolt.csv,13,1,0.0015,19.0426,26.7076
cakes/tournament/players/player2/bolt.csv,13,2,0.4160,9.1127,51.3905
cakes/tournament/players/player2/bolt.csv,13,3,0.3760,14.9835,58.7282
cakes/tournament/players/player2/bolt.csv,13,4,0.0591,21.0710,114.2411
cakes/tournament/players/player2/bolt.csv,13,5,0.4835,18.4576,10.9290
cakes/tournament/players/player2/bolt.csv,13,6,0.4900,13.6233,101.1473
cakes/tournament/players/player2/bolt.csv,13,7,0.4864,14.3088,170.0608
cakes/tournament/players/player2/bolt.csv,13,8,-1,-1,300.0000
cakes/tournament/players/player2/bolt.csv,13,9,-1,-1,300.0000
cakes/tournament/players/player2/bolt.csv,13,10,0.0002,12.4124,244.3691
cakes/tournament/players/player2/heart.csv,10,1,0.0193,2.0991,20.2097
cakes/tournament/players/player2/heart.csv,10,2,0.4435,2.2530,67.0859
cakes/tournament/players/player2/heart.csv,10,3,0.2309,0.5419,42.8706
cakes/tournament/players/player2/heart.csv,10,4,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,10,5,36.0392,11.2535,9.2088
cakes/tournament/players/player2/heart.csv,10,6,0.4899,4.4778,72.8532
cakes/tournament/players/player2/heart.csv,10,7,0.4549,1.5985,110.2721
cakes/tournament/players/player2/heart.csv,10,8,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,10,9,0.3329,1.2576,252.0313
cakes/tournament/players/player2/heart.csv,10,10,0.0000,0.0013,53.6363
cakes/tournament/players/player2/heart.csv,13,1,0.0211,2.2778,26.7902
cakes/tournament/players/player2/heart.csv,13,2,0.3773,2.4242,171.7427
cakes/tournament/players/player2/heart.csv,13,3,0.3479,0.0922,53.1808
cakes/tournament/players/player2/heart.csv,13,4,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,13,5,0.4437,7.6773,12.1674
cakes/tournament/players/player2/heart.csv,13,6,0.4899,1.2290,96.1364
cakes/tournament/players/player2/heart.csv,13,7,0.4615,1.8979,169.2176
cakes/tournament/players/player2/heart.csv,13,8,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,13,9,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,13,10,0.0001,0.0245,97.1160
cakes/tournament/players/player2/heart.csv,20,1,0.0018,6.8683,41.4183
cakes/tournament/players/player2/heart.csv,20,2,0.4537,2.8754,283.4419
cakes/tournament/players/player2/heart.csv,20,3,0.2582,0.4694,100.9453
cakes/tournament/players/player2/heart.csv,20,4,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,20,5,0.4843,11.6876,16.1781
cakes/tournament/players/player2/heart.csv,20,6,0.4900,7.2742,149.2690
cakes/tournament/players/player2/heart.csv,20,7,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,20,8,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,20,9,-1,-1,300.0000
cakes/tournament/players/player2/heart.csv,20,10,0.0002,0.0030,52.6310
cakes/tournament/players/player2/princess.csv,9,1,0.0014,14.4126,20.9479
cakes/tournament/players/player2/princess.csv,9,2,0.4238,18.0446,76.0522
cakes/tournament/players/player2/princess.csv,9,3,0.1416,7.1589,33.6829
cakes/tournament/players/player2/princess.csv,9,4,0.1088,20.0340,60.7869
cakes/tournament/players/player2/princess.csv,9,5,0.4235,16.9282,14.6696
